"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 00:00","2021","11","01","00:00","-2.4","","-3.3","","94","","0.0","","","","","","","","96.90","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 01:00","2021","11","01","01:00","-2.6","","-3.3","","95","","0.0","","","","","","","","96.90","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 02:00","2021","11","01","02:00","-3.8","","-4.4","","96","","0.0","","","","","","","","96.90","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 03:00","2021","11","01","03:00","-3.3","","-3.9","","95","","0.0","","","","","","","","96.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 04:00","2021","11","01","04:00","-3.5","","-4.2","","95","","0.0","","","","","","","","96.89","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 05:00","2021","11","01","05:00","-3.0","","-3.9","","93","","0.0","","","","","","","","96.89","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 06:00","2021","11","01","06:00","-3.5","","-4.5","","93","","0.0","","","","","","","","96.88","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 07:00","2021","11","01","07:00","-2.8","","-3.8","","93","","0.0","","","","","","","","96.89","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 08:00","2021","11","01","08:00","-2.0","","-3.3","","91","","0.0","","","","","","","","96.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 09:00","2021","11","01","09:00","-0.9","","-2.4","","89","","0.0","","","","","","","","96.87","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 10:00","2021","11","01","10:00","1.2","","-2.4","","77","","0.0","","","","","","","","96.83","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 11:00","2021","11","01","11:00","3.3","","-1.7","","70","","0.0","","","","","","","","96.75","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 12:00","2021","11","01","12:00","4.3","","-2.1","","63","","0.0","","","","","","","","96.66","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 13:00","2021","11","01","13:00","5.8","","-2.0","","57","","0.0","","","","","","","","96.59","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 14:00","2021","11","01","14:00","6.7","","-2.1","","54","","0.0","","","","","","","","96.51","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 15:00","2021","11","01","15:00","5.7","","-2.4","","56","","0.0","","","","","","","","96.51","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 16:00","2021","11","01","16:00","4.5","","-1.4","","65","","0.0","","","","","","","","96.46","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 17:00","2021","11","01","17:00","3.5","","-1.1","","72","","0.0","","","","","","","","96.50","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 18:00","2021","11","01","18:00","2.5","","-1.0","","77","","0.0","","","","","","","","96.46","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 19:00","2021","11","01","19:00","1.3","","-1.6","","81","","0.0","","","","","","","","96.52","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 20:00","2021","11","01","20:00","1.6","","-0.8","","84","","0.0","","","","","","","","96.56","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 21:00","2021","11","01","21:00","2.2","","-0.3","","84","","0.0","","","","","","","","96.60","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 22:00","2021","11","01","22:00","2.6","","-0.2","","81","","0.0","","","","","","","","96.66","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-01 23:00","2021","11","01","23:00","3.2","","-0.2","","79","","0.0","","","","","","","","96.76","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 00:00","2021","11","02","00:00","2.8","","0.9","","87","","0.0","","","","","","","","96.82","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 01:00","2021","11","02","01:00","2.6","","0.7","","88","","0.0","","","","","","","","96.83","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 02:00","2021","11","02","02:00","2.2","","0.9","","91","","0.0","","","","","","","","96.87","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 03:00","2021","11","02","03:00","1.1","","-0.2","","91","","0.0","","","","","","","","96.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 04:00","2021","11","02","04:00","0.5","","-0.1","","95","","0.0","","","","","","","","96.96","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 05:00","2021","11","02","05:00","-0.7","","-1.2","","96","","0.0","","","","","","","","97.01","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 06:00","2021","11","02","06:00","0.1","","-0.3","","97","","0.0","","","","","","","","97.02","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 07:00","2021","11","02","07:00","0.8","","0.3","","97","","0.0","","","","","","","","97.02","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 08:00","2021","11","02","08:00","1.9","","1.0","","94","","0.0","","","","","","","","97.07","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 09:00","2021","11","02","09:00","3.5","","2.0","","90","","0.0","","","","","","","","97.13","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 10:00","2021","11","02","10:00","4.3","","2.2","","87","","0.0","","","","","","","","97.12","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 11:00","2021","11","02","11:00","4.8","","2.7","","86","","0.0","","","","","","","","97.13","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 12:00","2021","11","02","12:00","5.3","","2.9","","84","","0.0","","","","","","","","97.12","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 13:00","2021","11","02","13:00","5.7","","2.2","","78","","0.0","","","","","","","","97.07","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 14:00","2021","11","02","14:00","6.1","","2.1","","76","","0.0","","","","","","","","97.04","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 15:00","2021","11","02","15:00","6.1","","2.4","","77","","0.0","","","","","","","","97.07","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 16:00","2021","11","02","16:00","5.9","","2.8","","80","","0.0","","","","","","","","97.08","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 17:00","2021","11","02","17:00","5.1","","2.9","","85","","0.0","","","","","","","","97.01","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 18:00","2021","11","02","18:00","4.7","","2.5","","85","","0.0","","","","","","","","97.02","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 19:00","2021","11","02","19:00","3.5","","2.2","","91","","0.0","","","","","","","","97.01","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 20:00","2021","11","02","20:00","3.8","","2.4","","90","","0.0","","","","","","","","96.98","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 21:00","2021","11","02","21:00","4.0","","2.8","","92","","0.0","","","","","","","","97.05","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 22:00","2021","11","02","22:00","3.9","","3.0","","94","","0.0","","","","","","","","97.06","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-02 23:00","2021","11","02","23:00","4.2","","3.3","","94","","0.1","","","","","","","","97.04","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-03 00:00","2021","11","03","00:00","4.3","","3.7","","96","","0.1","","","","","","","","96.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-03 01:00","2021","11","03","01:00","4.1","","3.6","","97","","0.0","","","","","","","","96.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-03 02:00","2021","11","03","02:00","4.0","","3.6","","97","","0.1","","","","","","","","96.96","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-11-03 03:00","2021","11","03","03:00","4.2","","3.9","","98","","0.4","","","","","","","","96.97","","","","","","NA"
