"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 00:00","2019","01","01","00:00","-3.2","","-6.4","","78","","0.0","","","","","","","","97.50","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 01:00","2019","01","01","01:00","-3.1","","-6.1","","80","","0.0","","","","","","","","97.42","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 02:00","2019","01","01","02:00","-2.9","","-6.5","","76","","0.0","","","","","","","","97.44","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 03:00","2019","01","01","03:00","-2.9","","-6.1","","78","","0.0","","","","","","","","97.41","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 04:00","2019","01","01","04:00","-2.9","","-5.9","","79","","0.0","","","","","","","","97.44","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 05:00","2019","01","01","05:00","-3.1","","-5.1","","86","","0.2","","","","","","","","97.42","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 06:00","2019","01","01","06:00","-3.1","","-4.8","","88","","0.0","","","","","","","","97.43","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 07:00","2019","01","01","07:00","-3.1","","-4.8","","88","","0.0","","","","","","","","97.40","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 08:00","2019","01","01","08:00","-2.9","","-4.6","","88","","0.0","","","","","","","","97.41","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-01-01 09:00","2019","01","01","09:00","-2.2","","-4.6","","84","","0.0","","","","","","","","97.48","","","","","","NA"
