"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 00:00","2017","04","01","00:00","8.7","","1.3","","60","","0.0","","","","","","","","96.48","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 01:00","2017","04","01","01:00","8.6","","0.6","","57","","0.0","","","","","","","","96.44","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 02:00","2017","04","01","02:00","8.3","","1.9","","64","","0.0","","","","","","","","96.37","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 03:00","2017","04","01","03:00","9.3","","0.6","","55","","0.0","","","","","","","","96.40","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 04:00","2017","04","01","04:00","8.6","","1.6","","61","","0.0","","","","","","","","96.37","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 05:00","2017","04","01","05:00","6.6","","3.8","","83","","0.1","","","","","","","","96.29","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 06:00","2017","04","01","06:00","6.5","","3.7","","82","","0.3","","","","","","","","96.30","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 07:00","2017","04","01","07:00","6.6","","4.2","","84","","0.1","","","","","","","","96.34","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 08:00","2017","04","01","08:00","7.1","","4.7","","85","","0.0","","","","","","","","96.28","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 09:00","2017","04","01","09:00","8.1","","4.3","","77","","0.0","","","","","","","","96.31","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 10:00","2017","04","01","10:00","9.8","","4.3","","69","","0.0","","","","","","","","96.30","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 11:00","2017","04","01","11:00","12.0","","3.3","","55","","0.0","","","","","","","","96.25","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 12:00","2017","04","01","12:00","13.4","","1.5","","44","","0.0","","","","","","","","96.25","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 13:00","2017","04","01","13:00","14.8","","-0.2","","36","","0.0","","","","","","","","96.22","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 14:00","2017","04","01","14:00","15.2","","-0.6","","34","","0.0","","","","","","","","96.20","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 15:00","2017","04","01","15:00","15.6","","-1.5","","31","","0.0","","","","","","","","96.17","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 16:00","2017","04","01","16:00","14.4","","-2.2","","32","","0.0","","","","","","","","96.18","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 17:00","2017","04","01","17:00","13.3","","0.8","","42","","0.0","","","","","","","","96.23","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 18:00","2017","04","01","18:00","11.7","","-2.6","","37","","0.0","","","","","","","","96.27","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-04-01 19:00","2017","04","01","19:00","10.3","","-2.8","","40","","0.0","","","","","","","","96.34","","","","","","NA"
