"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 00:00","2018","06","01","00:00","14.2","","3.4","","48","","0.0","","","","","","","","95.79","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 01:00","2018","06","01","01:00","13.6","","3.4","","50","","0.0","","","","","","","","95.85","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 02:00","2018","06","01","02:00","12.7","","3.2","","52","","0.0","","","","","","","","95.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 03:00","2018","06","01","03:00","11.4","","3.1","","56","","0.0","","","","","","","","96.00","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 04:00","2018","06","01","04:00","10.4","","3.0","","60","","0.0","","","","","","","","96.08","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 05:00","2018","06","01","05:00","11.9","","2.8","","53","","0.0","","","","","","","","96.13","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 06:00","2018","06","01","06:00","13.7","","2.5","","46","","0.0","","","","","","","","96.22","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 07:00","2018","06","01","07:00","14.8","","1.4","","40","","0.0","","","","","","","","96.26","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 08:00","2018","06","01","08:00","16.2","","1.0","","36","","0.0","","","","","","","","96.32","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2018-06-01 09:00","2018","06","01","09:00","17.2","","1.4","","35","","0.0","","","","","","","","96.32","","","","","","NA"
