"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 00:00","2019","09","01","00:00","16.3","","13.5","","84","","","M","","","","","","","96.07","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 01:00","2019","09","01","01:00","16.2","","12.9","","81","","","M","","","","","","","96.07","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 02:00","2019","09","01","02:00","16.0","","13.5","","85","","","M","","","","","","","96.08","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 03:00","2019","09","01","03:00","15.3","","13.2","","88","","","M","","","","","","","96.08","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 04:00","2019","09","01","04:00","14.7","","12.8","","88","","","M","","","","","","","96.09","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 05:00","2019","09","01","05:00","14.1","","12.5","","90","","","M","","","","","","","96.09","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 06:00","2019","09","01","06:00","14.0","","12.4","","90","","","M","","","","","","","96.13","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 07:00","2019","09","01","07:00","16.6","","12.5","","77","","","M","","","","","","","96.14","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 08:00","2019","09","01","08:00","19.3","","12.1","","63","","","M","","","","","","","96.13","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 09:00","2019","09","01","09:00","21.0","","11.2","","53","","","M","","","","","","","96.08","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 10:00","2019","09","01","10:00","23.7","","11.6","","47","","","M","","","","","","","96.05","","26","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-09-01 11:00","2019","09","01","11:00","24.8","","9.1","","37","","","M","","","","","","","96.01","","26","","","","NA"
