"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 00:00","2017","08","01","00:00","19.1","","7.6","","47","","0.0","","","","","","","","96.83","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 01:00","2017","08","01","01:00","18.8","","8.3","","51","","0.0","","","","","","","","96.85","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 02:00","2017","08","01","02:00","17.7","","9.4","","58","","0.0","","","","","","","","96.86","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 03:00","2017","08","01","03:00","16.9","","7.5","","54","","0.0","","","","","","","","96.89","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 04:00","2017","08","01","04:00","15.6","","7.5","","58","","0.0","","","","","","","","96.93","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 05:00","2017","08","01","05:00","15.8","","7.9","","59","","0.0","","","","","","","","96.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 06:00","2017","08","01","06:00","15.9","","8.8","","63","","0.0","","","","","","","","97.00","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 07:00","2017","08","01","07:00","19.0","","8.6","","51","","0.0","","","","","","","","97.02","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 08:00","2017","08","01","08:00","22.5","","9.3","","43","","0.0","","","","","","","","97.04","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2017-08-01 09:00","2017","08","01","09:00","24.7","","8.1","","35","","0.0","","","","","","","","97.02","","25","","","","NA"
