"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 00:00","2021","07","01","00:00","32.3","","13.7","","33","","0.0","","","","","","","","95.20","","35","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 01:00","2021","07","01","01:00","31.2","","13.0","","33","","0.0","","","","","","","","95.24","","34","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 02:00","2021","07","01","02:00","28.8","","13.7","","40","","0.0","","","","","","","","95.26","","32","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 03:00","2021","07","01","03:00","26.5","","14.4","","47","","0.0","","","","","","","","95.28","","30","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 04:00","2021","07","01","04:00","25.3","","13.8","","49","","0.0","","","","","","","","95.33","","29","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 05:00","2021","07","01","05:00","27.3","","12.9","","41","","0.0","","","","","","","","95.38","","30","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 06:00","2021","07","01","06:00","27.8","","14.1","","43","","0.0","","","","","","","","95.43","","31","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 07:00","2021","07","01","07:00","28.6","","13.6","","40","","0.0","","","","","","","","95.46","","32","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 08:00","2021","07","01","08:00","29.9","","13.3","","36","","0.0","","","","","","","","95.47","","33","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 09:00","2021","07","01","09:00","31.5","","13.5","","34","","0.0","","","","","","","","95.44","","35","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 10:00","2021","07","01","10:00","32.7","","11.5","","27","","0.0","","","","","","","","95.44","","35","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 11:00","2021","07","01","11:00","33.9","","13.6","","30","","0.0","","","","","","","","95.39","","37","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 12:00","2021","07","01","12:00","35.3","","14.1","","28","","0.0","","","","","","","","95.36","","39","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 13:00","2021","07","01","13:00","36.4","","14.0","","26","","0.0","","","","","","","","95.32","","40","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 14:00","2021","07","01","14:00","36.4","","12.2","","23","","0.0","","","","","","","","95.28","","39","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 15:00","2021","07","01","15:00","36.1","","10.8","","22","","0.0","","","","","","","","95.21","","38","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 16:00","2021","07","01","16:00","38.6","","8.1","","16","","0.0","","","","","","","","95.13","","39","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 17:00","2021","07","01","17:00","38.1","","8.6","","17","","0.0","","","","","","","","95.09","","39","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-07-01 18:00","2021","07","01","18:00","36.5","","13.1","","25","","0.0","","","","","","","","95.14","","39","","","","NA"
