"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 00:00","2020","10","01","00:00","11.0","","9.3","","89","","0.0","","","","","","","","97.17","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 01:00","2020","10","01","01:00","11.1","","9.0","","87","","0.0","","","","","","","","97.18","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 02:00","2020","10","01","02:00","10.2","","8.8","","91","","0.0","","","","","","","","97.16","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 03:00","2020","10","01","03:00","10.4","","9.1","","92","","0.0","","","","","","","","97.18","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 04:00","2020","10","01","04:00","9.6","","8.6","","94","","0.0","","","","","","","","97.16","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 05:00","2020","10","01","05:00","10.3","","9.5","","95","","0.0","","","","","","","","97.13","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 06:00","2020","10","01","06:00","9.4","","8.5","","94","","0.0","","","","","","","","97.15","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 07:00","2020","10","01","07:00","9.4","","8.4","","94","","0.0","","","","","","","","97.16","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 08:00","2020","10","01","08:00","11.3","","10.0","","92","","0.0","","","","","","","","97.19","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 09:00","2020","10","01","09:00","14.3","","11.0","","80","","0.0","","","","","","","","97.19","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 10:00","2020","10","01","10:00","14.9","","10.9","","77","","0.0","","","","","","","","97.18","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 11:00","2020","10","01","11:00","15.9","","9.8","","67","","0.0","","","","","","","","97.14","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 12:00","2020","10","01","12:00","16.8","","11.0","","69","","0.0","","","","","","","","97.12","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 13:00","2020","10","01","13:00","17.7","","10.0","","61","","0.0","","","","","","","","97.09","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 14:00","2020","10","01","14:00","17.7","","10.4","","63","","0.0","","","","","","","","97.02","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 15:00","2020","10","01","15:00","17.6","","10.8","","64","","0.0","","","","","","","","96.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 16:00","2020","10","01","16:00","17.3","","11.4","","69","","0.0","","","","","","","","96.96","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 17:00","2020","10","01","17:00","17.2","","11.6","","69","","0.0","","","","","","","","96.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 18:00","2020","10","01","18:00","16.0","","11.8","","76","","0.0","","","","","","","","96.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 19:00","2020","10","01","19:00","14.2","","10.9","","80","","0.0","","","","","","","","96.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 20:00","2020","10","01","20:00","14.4","","11.3","","82","","0.0","","","","","","","","96.90","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 21:00","2020","10","01","21:00","13.0","","10.8","","87","","0.0","","","","","","","","96.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 22:00","2020","10","01","22:00","11.3","","10.1","","92","","0.0","","","","","","","","96.92","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-01 23:00","2020","10","01","23:00","11.8","","10.6","","93","","0.0","","","","","","","","96.96","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 00:00","2020","10","02","00:00","10.3","","9.4","","94","","0.0","","","","","","","","96.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 01:00","2020","10","02","01:00","10.4","","9.7","","95","","0.0","","","","","","","","96.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 02:00","2020","10","02","02:00","10.2","","9.6","","96","","0.0","","","","","","","","97.00","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 03:00","2020","10","02","03:00","9.5","","8.9","","96","","0.0","","","","","","","","97.01","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 04:00","2020","10","02","04:00","8.8","","8.2","","97","","0.0","","","","","","","","97.02","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 05:00","2020","10","02","05:00","9.2","","8.6","","96","","0.0","","","","","","","","97.02","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 06:00","2020","10","02","06:00","9.3","","8.8","","97","","0.0","","","","","","","","97.07","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2020-10-02 07:00","2020","10","02","07:00","10.2","","9.2","","94","","0.0","","","","","","","","97.09","","","","","","NA"
